time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
2023-07-21T20:56:45.000000000Z,7,1.11251,1.11252,1.11250,1.11252,1.11241,1.11243,1.11239,1.11242,1.11261,1.11261,1.11261,1.11261
2023-07-21T20:56:50.000000000Z,2,1.11252,1.11253,1.11252,1.11253,1.11243,1.11243,1.11243,1.11243,1.11261,1.11263,1.11261,1.11263
2023-07-21T20:56:55.000000000Z,1,1.11254,1.11254,1.11254,1.11254,1.11244,1.11244,1.11244,1.11244,1.11263,1.11263,1.11263,1.11263
2023-07-21T20:57:00.000000000Z,2,1.11254,1.11255,1.11254,1.11255,1.11244,1.11246,1.11244,1.11246,1.11264,1.11264,1.11264,1.11264
2023-07-21T20:57:05.000000000Z,2,1.11256,1.11256,1.11256,1.11256,1.11246,1.11246,1.11246,1.11246,1.11266,1.11266,1.11265,1.11265
2023-07-21T20:57:20.000000000Z,2,1.11256,1.11256,1.11254,1.11254,1.11246,1.11246,1.11244,1.11244,1.11266,1.11266,1.11265,1.11265
2023-07-21T20:57:35.000000000Z,1,1.11254,1.11254,1.11254,1.11254,1.11243,1.11243,1.11243,1.11243,1.11265,1.11265,1.11265,1.11265
2023-07-21T20:57:50.000000000Z,3,1.11256,1.11257,1.11256,1.11257,1.11246,1.11247,1.11246,1.11247,1.11266,1.11267,1.11266,1.11267
2023-07-21T20:57:55.000000000Z,2,1.11256,1.11256,1.11256,1.11256,1.11247,1.11247,1.11246,1.11246,1.11266,1.11266,1.11266,1.11266
2023-07-21T20:58:00.000000000Z,2,1.11254,1.11256,1.11254,1.11256,1.11244,1.11246,1.11244,1.11246,1.11265,1.11266,1.11265,1.11266
